,date,category_id,category,headline,articles,url
0,2020-01-01,0,opinion,Protect Veterans From Fraud,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
1,2020-01-01,1,world,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own inves...,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2,2020-01-01,1,world,Hong Kong Protesters Return to Streets as New Year Begins,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
3,2020-01-01,2,politics,Dizzying Day for Trump Caps a Year Full of Them,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
4,2020-01-01,3,arts,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,“Linda Ronstadt: The Sound of My Voice” airs on CNN. And a new season of “Doctor Who” kicks off on BBC America.,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
5,2020-01-01,1,world,How the U.S. Embassy in Iraq Became a Target,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
6,2020-01-01,4,business,10 Electric Vehicles to Watch,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
7,2020-01-01,1,world,Why the Fires in Australia Are So Bad,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",https://www.nytimes.com/2020/01/01/world/australia/fires.html
8,2020-01-01,1,world,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.",https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
9,2020-01-01,3,arts,Couture Creations for Dancing Bodies,An exhibition at the Centre National du Costume de Scène in France considers the dialogue between the stage and the runway.,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
10,2020-01-01,2,politics,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.",https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
11,2020-01-01,4,business,China Moves to Steady Its Slowing Economic Growth,The country’s central bank will in effect inject $115 billion into the financial system despite signs the economy has been improving.,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
12,2020-01-01,2,politics,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,"Mr. Buttigieg, who appears in strong position in Iowa with a month until the caucuses, continues to show fund-raising strength.",https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
13,2020-01-01,4,business,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries","In an iCal era, the co-founder of Rifle Paper Co., seller of stationery and home goods, still relies on physical planners (and the drive-through).",https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
14,2020-01-01,1,world,Pika-Who? How Pokémon Go Confused the Canadian Military,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.",https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
15,2020-01-01,1,world,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,"With an election and impeachment trial pending in the United States, North Korea’s leader added elements of caution in his threat of “shocking” action.",https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html
16,2020-01-01,1,world,Mexico Prison Fight Leaves at Least 16 Inmates Dead,Officials said several guns were found in the penitentiary.,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html
17,2020-01-01,1,world,Netanyahu Seeks Immunity From Israeli Corruption Charges,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.",https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html
18,2020-01-01,1,world,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,"As the pontiff greeted members of the public on New Year’s Eve, one woman grabbed his hand with both of hers. A video of the incident was shared widely online.",https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html
19,2020-01-01,5,sports,Fearless Predictions for the N.B.A. in 2020,Breaking out the crystal roundball for some (almost) fearless predictions for the N.B.A. in 2020.,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html
20,2020-01-01,0,opinion,North Korea Is Not Done Trolling Trump,Kim Jong-un just restarted his dance of death with America.,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html
21,2020-01-01,1,world,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say","The blaze burned down a primate enclosure, killing at least 30 animals. Three women told the police that they were sorry for using flying lanterns on New Year’s Eve.",https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html
22,2020-01-01,0,opinion,"Coaching Female Athletes, and Gender Inequality","Promoting women in these roles does not mean that we should denigrate the men in them, a reader says.",https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html
23,2020-01-01,0,opinion,Can Collectors: Nuisance or Public Service?,Readers offer different views of those who earn money by rummaging through trash bags to collect recyclables.,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html
24,2020-01-01,0,opinion,Rethinking How We Choose Candidates,"Readers offer their suggestions for how to revamp the primary process, in response to a column by David Leonhardt.",https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html
25,2020-01-01,4,business,A Restaurant With No Leftovers,A Brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises.,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html
26,2020-01-01,2,politics,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,"The president assumed economic levers would guide the countries’ national interests. Now, he confronts twin challenges in an election year.",https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html
27,2020-01-01,3,arts,Review: Anna Netrebko Rings in the Year With a Met Gala,"The company’s prima donna showed off her past, present and future artistry in acts from three Puccini operas.",https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html
28,2020-01-01,3,arts,"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82","He deftly manipulated electronic images to produce otherworldly, sometimes jarring visions. He also founded, with his wife, a landmark performance space.",https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html
29,2020-01-01,1,world,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83","Mr. Abed gave up a job as a senior executive at a multinational company to start BRAC after he saw his native land, Bangladesh, devastated by war.",https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html
30,2020-01-01,1,world,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.",https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html
31,2020-01-01,0,opinion,Only You Can Prevent Dystopia,How to survive the internet in 2020. (It’s not going to be easy.),https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html
32,2020-01-01,0,opinion,Every Moment With My Son Is an Act of Creation,Now we have written a book together.,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html
33,2020-01-01,0,opinion,Shock Waves From American Airstrikes in Iraq May Have Just Begun,Retaliation against an Iran-backed militia set off anti-American protests that could strengthen Iran’s hand.,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html
34,2020-01-01,5,sports,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",His marketing vision turned the world’s premier professional basketball league into a global brand with its biggest stars as its ambassadors.,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html
35,2020-01-01,0,opinion,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,A show of support for the true spirit of New York.,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html
36,2020-01-01,5,sports,David Stern Saw Where the Sports World Was Headed Long Before It Got There,"Stern was a visionary who understood that pro athletes were seeking more power in their sports. While other commissioners tried to stop the effort, he used it to his advantage.",https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html
37,2020-01-01,2,politics,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.",https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html
38,2020-01-01,2,politics,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,A meeting with President Volodymyr Zelensky of Ukraine would have been the first for a top Trump official since the impeachment inquiry began.,https://www.nytimes.com/2020/01/01/us/politics/pompeo-cancels-ukraine-trip.html
39,2020-01-02,0,opinion,Already Had Plenty of Trump 2020?,"He’s a bad show, but it’s not low-flow.",https://www.nytimes.com/2020/01/01/opinion/trump-2020.html
40,2020-01-02,0,opinion,Why Did One-Quarter of the World’s Pigs Die in a Year?,"Swine fever devastated China’s stock because with unsound governance, even sound regulations have perverse effects.",https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html
41,2020-01-02,5,sports,"N.B.A. Superstars, Growth and Lockouts: The David Stern Years","The longtime commissioner received acclaim for building the league into a vital global business, but he also was at the center of contentious disputes.",https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html
42,2020-01-02,5,sports,"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work",The Ducks managed to win with only 204 yards in total offense — the fewest by a team in the Rose Bowl since 1979.,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html
43,2020-01-02,1,world,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse","Across the north, including New Delhi, plunging temperatures have caused a run on shelters in a region more used to extreme heat.",https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html
44,2020-01-02,1,world,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,"After months of talks, Sebastian Kurz’s conservatives and progressive Greens agreed on a coalition that could be a harbinger for the rest of Europe.",https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html
45,2020-01-02,3,arts,What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,A drama based on a miraculous Missouri incident airs on HBO. And Lifetime airs a follow-up to its much-viewed R. Kelly documentary series.,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html
46,2020-01-02,1,world,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,The helicopter was carrying military personnel to an event in northeastern Taiwan when it went down on a wooded mountainside.,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html
47,2020-01-02,3,arts,‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,"A new Lifetime series examines the criminal charges against the singer, and how accusing him changed the lives of the women who came forward.",https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html
48,2020-01-02,5,sports,How David Stern Navigated Race in the N.B.A.,"Stern was known as a fierce negotiator who was considerate of the racial implications of overseeing a mostly black league, though he also faced criticism for some of his decisions.",https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html
